Destination_ID,Address,Squarefoot,Rooms,Type,Property_ID,Facilities
L1, Vei 217,150m2,4 herbergi,Einbýlishús,FS1
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS2,kjarnaofn. Gufubað. Lyftingasalur. Leikjaaðstaða. Billjardborð
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS3
L1,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS4
L1,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS5
L1,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS6
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS7
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS8
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS9
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS11
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS12
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS13
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS14
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS15
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS16
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS17
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS18
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS19
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS20
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS21
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS22
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS23
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS24
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS25
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS26
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS27
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS28
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS29
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS30
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS31
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS32
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS33
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS34
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS35
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS36
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS37
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS38
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS39
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS40
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS41
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS42
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS43
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS44
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS45
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS46
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS47
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS48
L1,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS49
L1,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS50
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS51
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS52
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS53
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS54
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS55
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS56
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS57
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS58
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS59
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS60
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS61
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS62
L1,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS63
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS64
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS65
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS66
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS67
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS68
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS69
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS70
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS71
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS72
L1,Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS73
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS74
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS75
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS76
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS77
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS78
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS79
L1, Longyearbyen Harbor 1,5000m2,80 herbergi,Kafbátur,FS80
L2, iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN1
L2, iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN2
L2, iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN3
L2, iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN4
L2,iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN5
L2, iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN6
L2, iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN7
L2, iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN8
L2, iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN9
L2, iGloo-Ville:- 10 igloo,35fm2,1 herbergi,Snjóhús,FN10
L2,Suloraq 42,69m2,2 herbergi,Fjölbíli,FN11
L2,Igimaq 7,10m2,1 herbergi,Snjóhús,FN12
L2,Nuussuaq 4,400m2,8  herbergi,Villa,FN13
L3, Skákið 15,100m2,3 herbergi,Raðhús,FF1
L3, Skákið 15,100m2,3 herbergi,Raðhús,FF2
L3, Skákið 15,100m2,3 herbergi,Raðhús,FF3
L3,Svalbarðsvegur 22,200m2,5 herbergi,Einbýlishús,FF4
L3,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF5
L3,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF6
L3,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF7
L3,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF8
L3,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF9
L3,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF10
L3,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF11
L3,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF12
L3,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF13
L3,Nýggivegur 1,15m2,10 herbergi,Moldarhús,FF14id123
id123,Menntavegur 1,100,2,hús,propid123,all the facilites
s,s,s,s,s,s,s
sara,sara,many,lots,house,idsara,none
